Time,In/Temperature (BMS ECM/Power Limits),road_slope,In/Specific Consumption Avg (BMS Monitor),In/Energy (BMS Monitor),In/Desired Velocity (Vehicle Monitor),In/Actual Velocity (Vehicle Monitor),In/Distance (Vehicle Monitor),In/Range (BMS Monitor),In/Voltage (BMS Monitor),In/Current (BMS Monitor),In/Power (BMS Monitor),In/SoC (BMS Monitor)
54,293.1674888,262,25.23893357,38.43131218,16.84000015,16.26280595,0.348049258,152.2699526,481.1755671,-0.638810164,-0.307379843,79.85669041
55,293.1674401,261,25.01245118,38.43118565,15.02999973,14.54888299,0.352327785,153.6482185,481.0738918,-1.470616794,-0.707475344,79.85645908
56,293.1673979,261,24.8430828,38.4308471,13.44999981,13.09145568,0.356152444,154.6943566,480.8797527,-3.057671649,-1.470372386,79.85584012
57,293.1673601,261,24.72339397,38.4304193,12.43999958,11.37545163,0.359606949,155.4415197,480.9576107,-2.414241345,-1.161147749,79.85505799
58,293.1673197,261,24.64089982,38.43004967,8.989999771,8.162378306,0.36231095,155.9604152,481.0081054,-1.995808364,-0.96,79.85438219
59,293.1672761,260,24.59538438,38.42974644,6.271999788,5.879918987,0.364214304,156.2477978,481.0076486,-1.995810259,-0.96,79.8538278
60,293.1672326,260,24.57720314,38.42944321,5.429999828,5.030765,0.36571752,156.3621499,481.0071918,-1.995812155,-0.96,79.85327341
61,293.1671916,260,24.58460915,38.42909055,4.849090663,4.609777082,0.367041812,156.313612,480.8674713,-3.13664975,-1.508312833,79.85262865
62,293.1671618,260,24.64773616,38.42854096,4.955999947,4.812667423,0.368331533,155.9110367,480.7000212,-4.502334233,-2.164272162,79.85162383
63,293.167148,260,24.75269677,38.42779502,6.007999802,5.608794859,0.369783271,155.2469025,480.678328,-4.670934919,-2.245217187,79.85026001
64,293.1672184,260,24.96307201,38.42659754,6.259999752,7.264422408,0.371463944,153.9337687,479.0176231,-18.26775914,-8.750578563,79.84807064
65,293.1683123,260,25.9015803,38.42238182,13.72599945,12.85129215,0.374280362,148.3399135,477.9380409,-27.06512769,-12.9354541,79.84036287
66,293.1689768,260,26.50151742,38.41906541,16.11090903,15.7625951,0.378321484,144.9693042,479.530278,-13.97368609,-6.700805576,79.83429922
67,293.1691641,259,26.69132139,38.4171408,16.26000023,16.89199899,0.38284183,143.9312061,479.0622838,-17.78601182,-8.520607442,79.83078026
68,293.1698063,259,27.20206344,38.41382669,18.86600037,19.15066868,0.387836963,141.2165911,478.3230711,-23.80463806,-11.38630759,79.82472062
69,293.1705531,259,27.71828149,38.41026091,21.14818192,21.37030794,0.393478338,138.5737457,478.6429478,-21.13910814,-10.11808503,79.81820072
70,293.1712247,259,28.13507112,38.40688145,22.57999992,23.26873045,0.399660968,136.508919,477.8064828,-27.95441648,-13.35680141,79.81202136
71,293.1726534,259,28.85525035,38.40202914,25.56454485,26.05246139,0.406502114,133.0850666,477.0186628,-34.35379645,-16.38740204,79.80314871
72,293.1743448,259,29.59722894,38.39675287,28.4099987,28.85854725,0.414138352,129.7309047,477.1587919,-33.1415873,-15.81379976,79.79350054
73,293.1760467,259,30.26198928,38.39146995,30.59999847,31.42854042,0.422498323,126.8636691,476.2114402,-40.84460819,-19.45066969,79.78383994
74,293.178277,259,31.00561212,38.38549094,33.97999781,34.18229783,0.431648961,123.8017517,477.9378856,-26.61873756,-12.72210315,79.77290611
75,293.1787025,259,30.95506829,38.38272589,34.37374782,34.97862578,0.44128624,123.9949643,479.7378884,-11.82695546,-5.673838637,79.76784952
76,293.1787805,258,30.63922605,38.38114132,34.18999863,35.02864925,0.451006913,125.2679858,479.671076,-12.35520271,-5.926433379,79.76495171
